Skp1_POZ PF03931.15 Zea_gi|293337209|ref|NP_001168727.1|
Skp1 PF01466.19 Zea_gi|293337209|ref|NP_001168727.1|
Skp1 PF01466.19 Zea_gi|293337209|ref|NP_001168727.1|
LTP_2 PF14368.6 Beta_gi|731329466|ref|XP_010675606.1|
NB-ARC PF00931.22 154_Tm-2a
Rx_N PF18052.1 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
LRR_8 PF13855.6 154_Tm-2a
NB-ARC PF00931.22 161456_Rdg2a
NB-ARC PF00931.22 161456_Rdg2a
Rx_N PF18052.1 161456_Rdg2a
Rx_N PF18052.1 161456_Rdg2a
Rx_N PF18052.1 161456_Rdg2a
Rx_N PF18052.1 161456_Rdg2a
LRR_8 PF13855.6 161456_Rdg2a
LRR_8 PF13855.6 161456_Rdg2a
LRR_8 PF13855.6 161456_Rdg2a
LRR_8 PF13855.6 161456_Rdg2a
LRR_8 PF13855.6 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
LRR_4 PF12799.7 161456_Rdg2a
FHA PF00498.26 Caa_gi|1026089845|ref|XP_016544063.1|
NB-ARC PF00931.22 1488_Pi-ta
Rx_N PF18052.1 1488_Pi-ta
Rx_N PF18052.1 1488_Pi-ta
AAA_16 PF13191.6 1488_Pi-ta
Pkinase_Tyr PF07714.17 170028_Pti1
Pkinase PF00069.25 170028_Pti1
RPW8 PF05659.11 150961_RPW8.1
HSP20 PF00011.21 150965_RTM2
HSP20 PF00011.21 150965_RTM2
HSP20 PF00011.21 150965_RTM2
PITH PF06201.13 Sol_tub_gi|971564505|ref|XP_015167790.1|
Pkinase PF00069.25 135726_RPG1
Pkinase PF00069.25 135726_RPG1
Pkinase PF00069.25 135726_RPG1
Pkinase_Tyr PF07714.17 135726_RPG1
Pkinase_Tyr PF07714.17 135726_RPG1
Pkinase_Tyr PF07714.17 135726_RPG1
NB-ARC PF00931.22 149_Rpi-blb2
CaM_binding PF07839.11 Ory_Jap_gi|1002244752|ref|XP_015626565.1|
CaM_binding PF07839.11 Ory_Jap_gi|1002244752|ref|XP_015626565.1|
CaM_binding PF07839.11 Ory_Jap_gi|1002244752|ref|XP_015626565.1|
CaM_binding PF07839.11 Ory_Jap_gi|1002244752|ref|XP_015626565.1|
Mlo PF03094.15 135723_Mlo
Calmodulin_bind PF07887.11 Hel_gi|1228841945|ref|XP_021978371.1|
NB-ARC PF00931.22 1501_Rps1-k-1
Rx_N PF18052.1 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_4 PF12799.7 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
LRR_8 PF13855.6 1501_Rps1-k-1
AAA_16 PF13191.6 1501_Rps1-k-1
AAA_16 PF13191.6 1501_Rps1-k-1
DUF1749 PF08538.10 Aeg_gi|1149822315|ref|XP_020169397.1|
NB-ARC PF00931.22 170021_prv
NB-ARC PF00931.22 170021_prv
TIR PF01582.20 170021_prv
TIR PF01582.20 170021_prv
TIR PF01582.20 170021_prv
TIR PF01582.20 170021_prv
LRR_4 PF12799.7 170021_prv
LRR_4 PF12799.7 170021_prv
LRR_4 PF12799.7 170021_prv
LRR_4 PF12799.7 170021_prv
LRR_4 PF12799.7 170021_prv
AAA_16 PF13191.6 170021_prv
AAA_16 PF13191.6 170021_prv
NACHT PF05729.12 170021_prv
NACHT PF05729.12 170021_prv
TIR_2 PF13676.6 170021_prv
TIR_2 PF13676.6 170021_prv
LRR_8 PF13855.6 170021_prv
LRR_8 PF13855.6 170021_prv
LRR_8 PF13855.6 170021_prv
LRR_8 PF13855.6 170021_prv
LRR_8 PF13855.6 170021_prv
LRR_8 PF13855.6 170021_prv
AAA_22 PF13401.6 170021_prv
AAA_22 PF13401.6 170021_prv
AAA_22 PF13401.6 170021_prv
AAA_22 PF13401.6 170021_prv
AAA PF00004.29 170021_prv
AAA PF00004.29 170021_prv
Asp PF00026.23 Sol_lyc_gi|1042705533|ref|NP_001316135.1|
TAXi_C PF14541.6 Sol_lyc_gi|1042705533|ref|NP_001316135.1|
TAXi_N PF14543.6 Sol_lyc_gi|1042705533|ref|NP_001316135.1|
TAXi_N PF14543.6 Sol_lyc_gi|1042705533|ref|NP_001316135.1|
OPA3 PF07047.12 Gly_gi|571457931|ref|XP_006580954.1|
Myb_DNA-bind_3 PF12776.7 Beta_gi|731373485|ref|XP_010666659.1|
TAXi_N PF14543.6 Aeg_gi|1149801485|ref|XP_020161072.1|
TAXi_C PF14541.6 Aeg_gi|1149801485|ref|XP_020161072.1|
NB-ARC PF00931.22 151_Rx2
AAA_16 PF13191.6 151_Rx2
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
LRR_8 PF13855.6 161448_Xa26
Pkinase_Tyr PF07714.17 161448_Xa26
Pkinase PF00069.25 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_4 PF12799.7 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRR_1 PF00560.33 161448_Xa26
LRRNT_2 PF08263.12 161448_Xa26
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
LRR_8 PF13855.6 1498_xa21
Pkinase PF00069.25 1498_xa21
Pkinase_Tyr PF07714.17 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_4 PF12799.7 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRR_1 PF00560.33 1498_xa21
LRRNT_2 PF08263.12 1498_xa21
LRRNT_2 PF08263.12 1498_xa21
